Source:;C:\Users\Aimee Simons\Desktop\2023\EEE3088F-Group-14\DigitalSensor\DigitalSensor.sch;;;;;;;;;;;
Date:;2023/03/05 20:47;;;;;;;;;;;
Tool:;Eeschema (5.1.10)-1;;;;;;;;;;;
Generator:;C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py;;;;;;;;;;;
Component Count:;3;;;;;;;;;;;
;;;;;;;;;;;;
Individual Components:;;;;;;;;;;;;
;;;;;;;;;;;;
Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;Description;Height;Manufacturer_Name;Manufacturer_Part_Number;Price (Dollars);
;;C1;100n;pspice:CAP;Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal;~;;;;;0.0009;
;;C2;C_Variable;Device:C_Variable;Capacitor_SMD:C_Trimmer_Murata_TZC3;~;;;;;0.3067;
;;IC1;TTP223E-BA6;TTP223E-BA6:TTP223E-BA6;TTP223E-BA6:SOT95P285X126-6N;https://datasheet.lcsc.com/szlcsc/1810251711_Tontek-Design-Tech-TTP223E-BA6_C129457.pdf;SOT-23-6 Touch Screen Controller ICs;1.26;Tontec;TTP223E-BA6;0.1568;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Collated Components:;;;;;;;;;;;;
;;;;;;;;;;;;
Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;Description;Height;Manufacturer_Name;Manufacturer_Part_Number;Price(Dollars);Price (Rands)
1;1;C1;100n;pspice:CAP;Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal;~;;;;;0.0009;0.016326
2;1;C2;C_Variable;Device:C_Variable;Capacitor_SMD:C_Trimmer_Murata_TZC3;~;;;;;0.3067;5.563538
3;1;IC1;TTP223E-BA6;TTP223E-BA6:TTP223E-BA6;TTP223E-BA6:SOT95P285X126-6N;https://datasheet.lcsc.com/szlcsc/1810251711_Tontek-Design-Tech-TTP223E-BA6_C129457.pdf;SOT-23-6 Touch Screen Controller ICs;1.26;Tontec;TTP223E-BA6;0.1568;2.844352
;;;;;;;;;;;0.4644;8.424216
